metric,current_v11,development_gate,paper_target,direction,gap_to_paper,status
Pair witness AUPRC,0.6807941073,0.6,0.7,higher,0.01920589269999995,near target
BCOT false-safe AUPRC,0.4114683441,0.65,0.75,higher,0.3385316559,major gap
Direct root-transport conflict AUPRC,,0.65,0.75,higher,,not measured in v11; mandatory in v12
Accepted NCF recall,0.2011396257,0.3,0.5,higher,0.2988603743,major gap
Accepted candidate rate,0.0831373198,0.1,0.2,higher,0.11686268020000001,major gap
Fallback rate,0.2730899661,0.25,0.1343287453,lower,0.13876122080000003,major gap
Ego progress,0.3538001848,0.3754,0.3870105052,higher,0.03321032040000005,moderate gap
Selected false-safe rate,0.4254937163,0.5080710154,0.4410532615,lower,-0.015559545200000025,minimum target met
Selected false-safe strong target,0.4254937163,,0.35,lower,0.07549371630000001,strong-target gap
Option preservation ratio,0.8005081722,0.78,0.8,higher,-0.00050817219999999,numeric target met; EP constraint pending
High-burden ceding rate,0.2529423499,0.32,0.2972770796,lower,-0.04433472970000002,numeric target met
COWP Waymax collision-risk rate,,,,lower,,no COWP online result
